UF,2010,2011,2012,2013,2014,2015
RO,12.93,8.53,8.94,8.64,9.18,9.89
AC,10.97,8.36,9.46,10.48,9.34,10.42
AM,9.57,10.1,10.29,10.25,9.77,10.09
RR,7.5,8.14,9.34,11.28,12.32,10.52
PA,12.77,12.48,11.8,11.24,11.01,10.69
AP,13.46,14.23,14.64,14.77,11.8,10.98
TO,9.77,8.63,8.32,8.67,8.22,8.72
MA,10.72,11.15,10.24,11.75,10.88,10.96
PI,12.26,12.48,12.28,11.91,11.37,10.8
CE,9.36,9.36,9.02,9.95,8.57,8.63
RN,9.46,9.17,10.15,9.87,9.0,9.82
PB,10.44,10.13,10.66,9.99,9.73,8.31
PE,10.63,9.44,9.97,9.7,9.19,9.4
AL,11.47,10.59,9.77,10.44,10.53,10.45
SE,10.64,11.14,11.38,10.49,10.94,10.83
BA,13.19,12.5,12.65,12.51,11.95,11.39
MG,9.3,9.39,8.94,8.61,8.18,8.13
ES,8.47,8.44,7.82,7.53,8.29,7.83
RJ,9.33,9.09,9.1,8.61,8.78,8.39
SP,8.14,7.91,7.93,7.89,7.88,7.58
PR,8.79,8.25,8.18,7.6,8.0,7.87
SC,7.26,8.1,7.58,6.99,7.08,7.24
RS,7.46,7.84,7.28,7.05,7.4,7.19
MS,10.39,8.99,8.69,8.04,8.56,8.02
MT,9.83,9.68,9.7,9.71,9.33,9.25
GO,9.15,10.1,10.39,9.67,9.18,8.98
DF,9.22,8.19,8.51,9.27,8.47,8.15
